Date Time,Open,High,Low,Close,SMA 200
2006-03-03 00:00,947250,947400,946650,946800,947239.00
2006-03-06 00:00,946500,946500,946050,946200,947233.75
2006-03-07 00:00,946200,946400,945900,946200,947225.50
2006-03-08 00:00,946200,946500,946050,946350,947218.75
2006-03-09 00:00,946350,946500,945950,946050,947210.00
2006-03-10 00:00,946050,946350,946050,946200,947200.25
2006-03-13 00:00,946000,946050,945450,945500,947185.75
2006-03-14 00:00,945500,945700,945450,945650,947170.75
2006-03-15 00:00,945600,946550,945550,946500,947158.75
2006-03-16 00:00,946500,946550,946100,946250,947144.25
2006-03-17 00:00,946250,947250,946250,947250,947136.00
2006-03-20 00:00,947200,947200,946950,947150,947125.50
2006-03-21 00:00,947150,947400,947000,947150,947115.00
2006-03-22 00:00,947100,947150,946400,946500,947102.75
2006-03-23 00:00,946500,946750,946450,946700,947092.75
2006-03-24 00:00,946650,946950,946300,946450,947086.50
2006-03-27 00:00,947050,947300,946950,947200,947085.25
2006-03-28 00:00,947150,947200,946850,947050,947084.50
2006-03-29 00:00,947000,947000,945900,946150,947077.75
2006-03-30 00:00,946150,946250,945850,946100,947070.50
2006-03-31 00:00,946100,946300,945600,945800,947063.75
2006-04-03 00:00,945750,945950,945650,945850,947054.75
2006-04-04 00:00,945750,945900,945250,945350,947038.00
2006-04-05 00:00,945400,945550,944900,945450,947020.00
2006-04-06 00:00,945450,945550,944600,944850,946997.00
2006-04-07 00:00,944850,945000,944300,944550,946973.50
2006-04-10 00:00,943650,944300,943600,944200,946950.25
2006-04-11 00:00,944250,944450,943800,944150,946927.00
2006-04-12 00:00,944150,944450,943950,944400,946902.25
2006-04-13 00:00,944400,944500,943800,943950,946881.75
2006-04-18 00:00,943700,943950,943650,943850,946859.50
2006-04-19 00:00,943850,944150,943800,944000,946837.00
2006-04-20 00:00,944050,944200,943350,943550,946814.25
2006-04-21 00:00,943600,943700,943100,943400,946788.25
2006-04-24 00:00,943250,943850,943200,943850,946766.75
2006-04-25 00:00,943650,943900,943500,943800,946747.00
2006-04-26 00:00,943950,944000,942650,942950,946725.00
2006-04-27 00:00,942900,943000,942200,942700,946700.50
2006-04-28 00:00,942700,943300,942300,942950,946676.00
2006-05-01 00:00,942800,943000,942650,943000,946653.50
2006-05-02 00:00,943000,943100,942150,942500,946629.50
2006-05-03 00:00,942500,942700,941850,942250,946603.00
2006-05-04 00:00,942200,942200,941750,942000,946574.75
2006-05-05 00:00,941900,942250,941600,942150,946551.75
2006-05-08 00:00,942650,942750,942350,942400,946525.75
2006-05-09 00:00,942450,942550,942100,942200,946497.75
2006-05-10 00:00,942150,942300,941700,941850,946466.25
2006-05-11 00:00,941800,942150,941500,941850,946435.25
2006-05-12 00:00,941800,941900,941550,941800,946401.25
2006-05-15 00:00,941400,941700,941200,941650,946372.00
2006-05-16 00:00,941600,942300,941600,942250,946347.50
2006-05-17 00:00,942300,942650,942100,942350,946325.50
2006-05-18 00:00,942250,942300,941550,941850,946299.75
2006-05-19 00:00,941850,942750,941800,942700,946279.75
2006-05-22 00:00,942400,943000,942400,943000,946265.00
2006-05-23 00:00,943000,943350,942900,943250,946250.50
2006-05-24 00:00,943150,943550,942800,943150,946233.50
